,sentiment,content
6292,0,skype call billie webcam dont work
6293,neutral,sleepydumpling yeah i m fine raid thing excepting liquor cheese amp bacon ball
6294,0,risk sounding like whiny child gotta say i wanna go hoooooooooooomeeeee ugh
6295,0,freakin migraine
6296,0,bye bye south beach u never let
6297,0,going last full day school life good
6298,0,elf princess hehehe barry killer u need pic
6299,neutral,pgatour dang stuck fantasty pick
6300,0,photography class summer cancelled going somewhere dont want missing spring game email eric swist
6301,0,seattle washington im sooooo hungry amp i miss alaska
6302,0,going miss reemer couple month tour
6303,0,apparently getting anymore sad
6304,0,work missing miami fam anywayz abigaildsouza mrohboy carolina jonathan prtyprincess jessdosil amp amp amp
6305,neutral,screw i m going shopping i ll back like anyway i ll hard core revision
6306,0,sweaty tired lap run gonna sun run next year matter what
6307,0,lonely
6308,0,today going normal day hope group pilot large airline come last night much drink
6309,0,whoa mean sleep hour
6310,0,really want buy new clothes
6311,0,wojohitz marchingstars winkiedinkie erockett feel left out alone az lol
6312,neutral,jonathanrknight thanks
6313,0,puzzled people s mood swing make somewhat sad can t pinpoint feel
6314,neutral,rose ville yay green certainly make rain worth it nice cozy indoors knitting
6315,0,julnas might end like poor bus driver and kinda weird wish today o
6316,neutral,gym doin paddle ball xo
6317,neutral,tommcfly tom u plan germany answer ur germany fa
6318,0,day beasted me
6319,neutral,well almost good day guess retry tomorrow
6320,neutral,eating ice cream swensens
6321,neutral,ilhongy would get u u
6322,0,look like twitter
6323,0,sad day love maï¿½ year ago
6324,neutral,mikeyway http twitpic com vwa lol wow i m watching x men last stand right
6325,neutral,changing guitar string getting ready perform the climb cousin birthdayy
6326,neutral,lady jane hope go away quicker mine week counting
6327,neutral,craigmcgill actually maybe sold sat lunch
6328,neutral,sooo waking way back sb good night america
6329,neutral,surgery wake
6330,0,feel deflated doggy
6331,0,sweet charlotte should another thrown i m sure one american family
6332,neutral,aint bee aint me ya heard me this u keemie
6333,0,locked house shit thank god there s internet
6334,neutral,yourself onfire think letitia still trying upload digital problem before sure let u know
6335,0,miss baby day
6336,neutral,msegers thanks good morning
6337,neutral,chris hayward go two way mirror
6338,neutral,today longest day ever going sleep beach bound tomorrow good night twitter
6339,0,still feelin like blah hour
6340,neutral,declercq thought might like getting ready see week
6341,neutral,wylthenemesis nope going able finish tonight got thing bed
6342,neutral,sueandsteve wow thats quite trip
6343,neutral,cypher thanks
6344,0,drag hell soundtrack christopher young delayed june nd july that s suck pretty bad
6345,0,craving munchkins bad
6346,neutral,going airport
6347,0,going sleep now gt happy mother s day amp happy birthday me
6348,0,gatorsnow feeling hurt
6349,neutral,somethingnl somethin single
6350,neutral,sneezed three time quick succession three four record
6351,0,there nothing worse working friday night wake saturday want babe
6352,neutral,ha cliche
6353,0,asheruk wanted go birthday
6354,neutral,realised many people interested business twitter want heard online nothing
6355,neutral,need song download suggestion ill take anything
6356,0,field day sad ribbon me
6357,neutral,slighter thank you
6358,neutral,kendraamichelle hi kendra whats up follow
6359,neutral,allysonrobinson working way bottle excedrin maybe twin
6360,0,graandma s houseee havee leave now lt
6361,0,friend
6362,neutral,two day hangover
6363,neutral,tifflacey course always
6364,0,stuck going nd job can t find good office job
6365,neutral,going rye house speedway
6366,neutral,can t wait go home eat hope something good
6367,0,teeth head hurt
6368,0,penguin j heehee love you tired
6369,neutral,aww love gone playing shuffle
6370,neutral,mileycyrus dont think vote anymore tried
6371,0,nice day like make miss alki
6372,0,tonight boring
6373,0,beckinelson idkk il get see
6374,neutral,moossacre lol funny thing even know class even race half people group yes clueless
6375,neutral,lasandrac ya ll going without
6376,0,shaw guy want sleeping
6377,neutral,sheilasela shelaaaaaaaa
6378,neutral,he s off
6379,0,much blog time
6380,0,chrisbrownweb according bow wow his best friend chris twitter want hater probably
6381,0,one want sit lunch guess i ll bury head laptop continue anti social
6382,0,cat died kidney failure math test day need get better
6383,neutral,flat tire city
6384,neutral,syafique ooh maggi goreng yums cant eat sore throat cmin
6385,neutral,jimsissy end count hang head lower
6386,0,another friday night in man skint rubbish
6387,0,telstra biggest teleco greedy need fast internet download cap
6388,0,wish teased movie night
6389,neutral,millsthemusical lauzzaa hope listened song funny l still heard tick x
6390,0,spiffums near him
6391,0,downside getting tdl day early time read til next week anyway still hurrah clutch close
6392,0,apparently degree kilkenny now comedy would great remedy boredom hell leave kilkenny
6393,neutral,happy mother s day
6394,neutral,might middle perfect weekend
6395,neutral,omsvu thanks okiebud get message sorry content selected currently available
6396,neutral,amyfroebel nope come back ct
6397,neutral,mellonikan thank
6398,neutral,xbron http twitpic com dbn o see dog bella
6399,neutral,i m tired
6400,0,well thats day watching panther tonight beat saint finger crossed cause qld team playing round
6401,0,missin boo
6402,0,feel sad coz wasnt able play guy http plurk com p wxiux
6403,neutral,tired turning internet play morning
6404,0,man sinus r really buggin morning
6405,neutral,watching destrey video
6406,neutral,john b water mr suh must read please http bit ly nppiv
6407,neutral,hasa lemon cake oven going make pork casserole domestic what
6408,neutral,aprilyim thats real geek talk haha i feel you
6409,neutral,savagemic mailchimp hired smart monkey e mail marketing
6410,neutral,cantus hear coffee brewing end
6411,neutral,adelinaxx yay som twitter slowly slowly rest grade come around hah hope ur ready constant tweet
6412,0,mcdonalds mccafe taste like chewin cigarette butt miss sonic card
6413,0,kristie same going try warm milk i m lactose intolerant haha
6414,neutral,smiling guy are turn speaker smile life good http www imtiredonline com smile
6415,neutral,tomorrow house shopping
6416,neutral,annyo will shall meet somewhere utah indiana
6417,neutral,dinner amp shower time then back revision day left
6418,neutral,cbrown want ice cream
6419,neutral,paulmorristim cheapest copy purusha s divine androgyne amazon
6420,neutral,leifwells time conference call
6421,neutral,old me s dead gone
6422,neutral,farrahdy take medicine
6423,0,put dog sleep love abby rip lt
6424,neutral,looove comedian obama hahaha man love event someone get pic dennis leary wife
6425,neutral,work ohwell need money
6426,neutral,installed youtube downloader anyone know make trailer video
6427,neutral,deejaychips havent laid verse yet
6428,neutral,hookbill yay thanks followfriday failfriday still winning though
6429,neutral,morning tweat tweat twitter
6430,neutral,movie s worst fate used quot straight dvd quot quot straight divx quot quot straight internet quot
6431,0,zhighlife people r weird
6432,0,jennifalconer tough that wanted hug like
6433,0,hate paint nail cant suck thumb taste bad
6434,neutral,littlestarred sigh you
6435,neutral,wanna read something recommend http estrellaazul wordpress com
6436,neutral,crash qmbol
6437,0,i m havin stupid stomach pain amp again today outing sph frenz amp stomach nvr fails dissappoint me haiz
6438,0,emaxio still courthouse happy job sad one
6439,0,thenewbradie tv working wanna watch vhits
6440,0,paper work friday afternoo
6441,0,taking care sick child
6442,0,jerrib sorry mom mean to tweeted that already hard day love you
6443,neutral,baddestnla i m traffic still see sun
6444,neutral,going hannah movie
6445,neutral,bed night good night everyone
6446,neutral,good morning universe today
6447,neutral,dannycastillo want trade someone houston ticket one will
6448,neutral,let dream spock goodnight
6449,0,mumalot corrected
6450,0,orw nooooooo want go back newcastle
6451,neutral,michellezen need follow could send direct message
6452,neutral,davidarchie tesco nearby go
6453,neutral,hannag go
6454,neutral,hate sat around alone friday night big sad old loser
6455,neutral,we ll visiting grandparent later btw heard katy perry s hook whew cool love k clarkson s version
6456,neutral,movie sleep today good day h dff
6457,neutral,tiaratara yeah meant
6458,neutral,justinderekrich good morning nyc broke would landed yesterday afternoon
6459,0,nataliejanette im jealous im going blogher
6460,0,i m sad i ll miss grandma angie always like rd grandma me
6461,0,marnixtfn ahahahah hello welcome twitter got hang already xx
6462,neutral,hilarylanders know think i m like dieing
6463,neutral,tommcfly please forget french fan
6464,neutral,new college project wanted share hey mr bartender college project http bit ly banf
6465,neutral,lukedennehy good hear feeling though behind scene and or better shown tv
6466,neutral,stitchinsista happened day customer asked ship work address sent another one
6467,0,dinner yummy all i m still super tired thing went enroll college
6468,neutral,dinuks switch something else
6469,neutral,omg want full jb hey baby song
6470,neutral,danielbowen saw abc news wife quot discussion quot were nunawading elsewhere
6471,neutral,smartinez i ll new movie showing franklin thursday night several sla faculty attendance
6472,0,unitechy wud like to actually free weekend time family visiting i m staying put next time
6473,0,see wat mean bout follw friidays called lose fllowers friday smh
6474,neutral,upshot want hunt down uhh well wish y all best luck tweeps
6475,0,ooh hayfever struck thought going avoid year nooo remedy anyone
6476,0,close library due great weather ac working fb
6477,neutral,need memorize julius caesar line
6478,neutral,potface yeah right
6479,neutral,aminakader thought exactly
6480,0,want korean bbq baddd one come
6481,neutral,case missed fb status looking maui hotel recommendation yes maui
6482,0,bah coworker ran work late bag smacked knee really hurt
6483,0,long day office again tiring week
6484,neutral,feelin right rite
6485,0,nooooooo sue retiring no
6486,neutral,regularjen thanks
6487,0,bored always much fun companion missing bff alreadyyyy
6488,neutral,ok th tweet i ll use simply say quot thank you quot i ve met giving caring people twitter
6489,0,jonathanrknight wish there i ve moved san diego wa i m depressed miss sunny san diegoooooooo
6490,neutral,flutechick
6491,0,nkirchmar minute go day weekend leading birthday tuesday work birthday
6492,neutral,pastimedaily oh dear boyle staying
6493,0,sad
6494,neutral,counting hour lost sunshine weekend
6495,neutral,tino hat ne wii
6496,neutral,penelope mill better spider type australian wildlife one would imagine
6497,neutral,eh i ve better i m excited see ryan hurley tomorrow
6498,0,we re little upset cause stephanie bring brownie today
6499,neutral,fuck maaaaannnn holidayzzzzz
6500,0,unopened pack goat cheese starin face starving din til
6501,0,annie ugly gray outside even san diego cold get may gray june gloom u
6502,0,lost favorite pen good thing back d
6503,0,god im suffering greatly hair sitting blazing sunshine v v bad sunburn
6504,0,mitchelmusso can t can t can t i m sad i m venezuela
6505,neutral,james s go
6506,neutral,hongkong international airport wait hour next flight cebu
6507,neutral,planing going little ride mtb monday may tower
6508,neutral,ideasculture wt red wine
6509,0,galaraza stop mean me ur hurting feeling
6510,neutral,missfree hey free
6511,neutral,richard saved frog thought replied would make sense twitter work gehts abi gut
6512,neutral,thelonely california
6513,neutral,train least two gaggle teenager sitting amp commuter squished standing back at least teenager let sit
6514,neutral,monday good
6515,neutral,remiransom wanted see that enjoy it
6516,neutral,i m doppppe rock show le moshie moshhhh pit http twitpic com wkhi
6517,neutral,cookinggranny morning
6518,neutral,diond ooooo wa am using iphone version use web sometimes twidget mac
6519,neutral,robinjection well maybe someone care
6520,neutral,sociology done english biology left i m going die
6521,0,sonicsalamander sorry bout migraine mention really liked cissbury sp pic last week
6522,neutral,benald hi uploaded completely new chinese lesson www youtube com chineselearn please feel free watch enjoy
6523,0,friend feel though need bring gift house warming a mess
6524,neutral,wanna listen full send
6525,neutral,emzyjonas know r lol hope said
6526,neutral,whoishonorsociety lt never wear pajama pant school gt
6527,neutral,lombers www whispergifts com bridal registry dm free premium account
6528,neutral,princess oat happening
6529,neutral,gm doox http podilates gr pp
6530,neutral,bblve lmaoo amp omg thank need act damn age i d ashamed damn grandpa
6531,neutral,davejmatthews slessard wanna tonight
6532,0,joyvbehar iï¿½m sorry
6533,neutral,hahah ive got ginger hair nao
6534,neutral,anyone looking vinyl clad playset year mfr warranty slide swing slot rock climbing wall more amish built
6535,neutral,taylorswift finally someone spreading hayley love via twitter welcome club taylor
6536,neutral,it http plurk com p rpnp
6537,0,notthebest weekend but oh well i right sad
6538,neutral,packing desk
6539,neutral,get quot fightstar mercury summer quot here http tinyurl com dbmn from http tinyurl com cnkhev musicmonday freemusic
6540,0,prodigiy crystal method tomorrow usc birthday party work first time miss crystal method sad
6541,neutral,drawing picture bubba
6542,neutral,atownbrown cooould say
6543,neutral,om nom nom rice pudding
6544,0,sun cool
6545,0,roshnimo yup sad eh betty man betty
6546,neutral,andcasey lol start group lol slut sister
6547,0,practicing smile today it s gunna big
6548,neutral,skagod one usual
6549,neutral,great night
6550,neutral,castlebar doesnt d im going galway see jb d movie could next week one
6551,neutral,hiccup
6552,neutral,hate today
6553,0,recession hit veronique branquinho quit company shame
6554,neutral,using on screen keyboard
6555,0,soooo bummed i m missing blockparty again able get app listen iphone
6556,neutral,wish eurodjangocon
6557,0,one bloody poet bad friend sorry hear that
6558,0,still missing husband really want home
6559,neutral,tonysarti crowntown think may meet there let get ready ill let know
6560,neutral,search ryan cabrera amp josh kelley they re really good
6561,neutral,kimberlinax oh kimmy really give one week get home hangout me better get see you lt
6562,neutral,dreaming bacon waffle fresh butter maple syrup brewed coffee
6563,0,tv arrived can t play co go stupid work
6564,0,going sleep peaceful wanted hear say good night happen good night everyone
6565,neutral,ashleepham dinner
6566,0,dap ohh i m watching best friend s wedding sad
6567,neutral,getting ready theatre seem like clothes moment might wear i ve wearing day
6568,neutral,the weather may make it cause temp fell c c yesterday
6569,neutral,whatswhat sian lol benefit sky hubbie watching sit thru it
6570,neutral,loggade visst min e cache lï¿½rdags
6571,neutral,liz would notice
6572,0,wish could go love music hate racism gig weekend i m right part world even
6573,0,lost dc hat
6574,neutral,forget call your mom tomorrow
6575,neutral,jlsears poker face
6576,neutral,slept entire flight woke fact girl beside watching chitty chitty bang bang
6577,neutral,good morning think stopped raining past three day so care
6578,0,jenfidel thanks decided give old hq go account scoundrel
6579,0,stupid rain picnic cancelled till tomorrow
6580,0,judyrey link work
6581,0,okay gots go first time since started miss block party retrorewind
6582,0,flu swinish one flu
6583,0,bad hair day
6584,0,today say goodbye second good friend week dmp least sun shinning i m definately working pm
6585,0,katieeeian missing devil wear prada sad
6586,neutral,rqocjd try ill hack mainframe internet database unban them it may take will im high
6587,0,hollywoodtv question guy liek famous anything haha miley followed luckkyy im jealous
6588,neutral,hampa hatiku
6589,neutral,uup morning school see ya xxx
6590,neutral,photovia novusnovendo ï¿½o ï¿½ giggle ï¿½who kidding heï¿½s probably gay def type hey now http tumblr com xkwgbpm
6591,0,school going absolutely horrible today peace out
6592,0,tracybelle i d hang you but tennessee
6593,neutral,iankintzle come visit iowa k
6594,0,put dog tomorrow
6595,neutral,charavel zyote morning guy
6596,neutral,jazz nope back week sigh
6597,0,eye hurt
6598,0,saw baby dove fall tree break neck die tried save couldnt cruel world
6599,0,sometimes feel like person world without iphone
6600,neutral,wee done advance audit paper
6601,neutral,listening yultron
6602,0,desperate need tweet cheer
6603,neutral,ooh exciting new mac day
6604,neutral,katevoegele wish toronto coming back soon
6605,neutral,thecreativeone second that wish rained
6606,neutral,runanskyrun i d rather early run but morning runner
6607,neutral,told taylor wanted punch baby i m much pain response quot what baby quot love family
6608,neutral,checkin new twitter
6609,neutral,patricklanglois http twitpic com wz hope load fun love miss all boy
6610,neutral,gahh i m tired right now
6611,0,good morning folk day go sadly day giro mean tour far away
6612,neutral,dhempe roadrippersid http twitter com friend page press previous page
6613,neutral,generalization damn come la vega suburbia hard connect ppls
6614,neutral,going get pedicure cpk lunch
6615,0,think june gloom arrived
6616,neutral,terbear yes new one adore though love vincent
6617,neutral,please visit http vzerohost com info sign alpha test image hosting service
6618,0,sweethomebirth link working
6619,0,jerryaz definately hard time cuz i m young amp never saw this wrkd hard making car amp i m disabled
6620,0,excited see quot up quot logan s birthday week sad wont party bc know kid tho
6621,neutral,well normal day i d already done work unfortunately normal day mean i ll office till late
6622,neutral,full great lunch stuck traffic
6623,0,kellyolexa monday start friday least work day week long day
6624,neutral,happy mother s day single dad play mom dad role enjoy day
6625,0,i ve become one pathetic girl feel lonely without boyfriend hahaha miss josey already
6626,0,materialistic know suck data plan weak sauce
6627,0,uploading photo ughhhh go school early tomorrow fml woo excursion win
6628,neutral,nkangel ignore it and get sum rest get rid headache
6629,neutral,phone still doesnt tweet
6630,neutral,http xkcd com today s xkcd looking forward daily update week
6631,0,jessereed u watch day earth stood still u see bye u got d c im sad left ur gone ily lt
6632,neutral,walked home rain
6633,neutral,live tv coming xbox live uk http tinyurl com kqah
6634,0,nellagrl being lonely time
6635,0,back reality boo
6636,0,mitchelmusso can t call cause portable sais number excist want much talk
6637,neutral,hey get comlementary cherry flavored lip gloss time cool
6638,neutral,bunnysan ooo believe they ve closed down even one airport
6639,0,drumstickboy also used close adiel sabby changed alot like sec
6640,0,rolling bed past hour still unable sleep
6641,0,can t wait see marco later feeling best
6642,0,dagnamit latest power twitter update pant clickable link
6643,neutral,joined twibe visit http twibes com spinning join spinner know respect spinner need coffee
6644,neutral,watching zdf fernsehgarten great andrea back last
6645,neutral,alperdotr got bored lunch time
6646,0,follow friday following people follower follow me woot followfriday
6647,neutral,always rain right get car washed
6648,neutral,unclelarko sure like way learn new language prefer quot on location quot practice ask q get answer
6649,neutral,playing tonight cassandra wilcox patrick bell ben bloss amp bucket nail door pm
6650,0,anjeebaby snap i m reality show watch first i m hooked sad
6651,0,rip officer edward may god continue bless family what s wit cop killing cop seen thing happen quot the wire quot
6652,neutral,jimmymarsh wanted let know heard quot give f amp k quot retrorewind online radio program
6653,0,baby left gonna get ready again i m leavin chili full
6654,neutral,needing make new video
6655,0,http twitpic com hvr picture last year freshman year miss tho day
6656,0,feeling great today
6657,0,jennwadsworth sad school close
6658,0,got paid nowhere near much thought would
6659,neutral,tweetnewz good price bulk sm premium sm http promotion itagg com
6660,neutral,good morning tweeps feeling oversleeping gracie around pounced head woke am
6661,neutral,little miss ugly
6662,neutral,anthony s prom
6663,neutral,sachie yna know password yet
6664,0,cacaubrazil that s great guy related
6665,neutral,know time wa could look web page s source code figure worked take lot effort
6666,neutral,work day
6667,0,onyxx b show sold wait til tomorrow sunday
6668,neutral,inesperado glad hear st tournament soon ksn say quot we need practice quot
6669,neutral,lovelylisaj give link kimba diary please
6670,neutral,accidbrrittanny lol hey
6671,neutral,ugh im tired hardly anything play niece im goin bed goodnight eveyone lt
6672,neutral,littelist fish udon dearly departed
6673,0,thomasfiss hahaha ur gonna tweet awoke night haha man concert suck cali s da place
6674,0,mixxxonn watched today show didnt see though
6675,neutral,hasta maï¿½ana twitter
6676,neutral,i m gonna new transformer come out i ll colombia
6677,0,upset left phone home
6678,0,jenny fell asleep come
6679,neutral,know statue venetian real man screamed loud everyone laughed
6680,neutral,mcfreak truetrue he s not xd
6681,neutral,following mya
6682,neutral,round
6683,0,keithjoforever angry keith whats up
6684,neutral,jennygnow sad feel bad hear it look like mid s like something u wld see lifetime
6685,0,bodywisdominc sorry missed pcharityclassic saw across way busy taking pix abt came meet u but u gone
6686,0,going funeral today friend classmate died car wreck last friday
6687,neutral,still need another hour sleep
6688,0,mitchelmusso i m sad missed calling time got home practice late
6689,neutral,ryankil think texting that i ve read lol figured html own
6690,neutral,much learn
6691,neutral,gym sesh
6692,neutral,note self wear steel toe court house i m sayin
6693,neutral,kasey yeah
6694,neutral,awww luke evicted quiz
6695,0,shit lost star trek ring starfleet academy class ring w golden gate bridge it got high school graduation present
6696,neutral,i ve never close falling asleep standing looking forward pushing faders tomorrow
6697,neutral,yasminegalenorn used definitely cheaper may get later one way new ok now
6698,0,marvelvscapcom doesnt work already
6699,neutral,emily tonight xd work experience over jen i m going miss seeing like everyday
6700,neutral,kr s make tea pleaseeeeeeeeeee
6701,neutral,short hour left go work
6702,neutral,electroanna filipino prof is name gorayeb chance
6703,0,i m sunburnt arm burnt mouth skin coming
6704,neutral,kevsbrtny depends goal amp much want spend cannondale specialized cervelo good brand
6705,0,im home on friday night good
6706,0,apparently starwars day today like shame revision though
6707,neutral,sharonhayes goal live month minute hour day time amp may otherwise put off true
6708,0,raining
6709,neutral,radha nice pic kept there seem carry cam around along you
6710,neutral,msdahlia got txt holla ya need
6711,0,day without sleep migraine thought life postr meant relaxing
6712,neutral,frenchieb day frenchieb day frenchieb day frenchieb day frenchieb day frenchieb day frenchieb day frenchieb day frenchieb day
6713,0,want go enjoy weather tired stuck bed
6714,neutral,sarasso i ll creative choosing next alias adding n front obviously stealthy enought
6715,0,bsweichsel like eight year ago sure would happen
6716,neutral,talked mom al sang song sleep now
6717,0,thenetimp yeah gonna long me
6718,neutral,dentist hole tooth
6719,neutral,acabou
6720,neutral,bored
6721,0,bigggest headache
6722,neutral,ohmyaly u find any
6723,neutral,currently uploading wordpress this ll give new site bit fluidity blogger
6724,0,wish here babe
6725,0,bummed babydoll spaghetti strap tank three wolf moon t shirt love meme hate wearing fabric box
6726,0,even want go store get ice cream wasted cute outfit on sitting as twitter
6727,neutral,crazytwism http twitpic com b hey nice pic
6728,neutral,pennydog nope especially got they re still settling
6729,0,homework friday night lame
6730,neutral,wish joe bidden train me
6731,neutral,monday best excited week
6732,neutral,unloveablesteve morrissey cancelled
6733,0,stangill uh mean
6734,0,nellagrl really good night missing little girl
6735,neutral,leaving work
6736,0,music soothes soul
6737,neutral,stacyyuu mom actually
6738,neutral,got moommy somn special mother day
6739,neutral,wishwishwish search quot asos coupon quot google plenty choose
6740,0,oleg s can t test it my demo license expired yesterday
6741,0,hate sweetie bad day http tinyurl com lrdj
6742,0,cosmicgirlie car happy big big dent boot hoping theyre going write off crossing finger waiting
6743,0,corruptedangel god really really christ
6744,neutral,david kaufer before well mean instead iraq see beer talking freely
6745,neutral,cole nesmith
6746,neutral,lisamh concord amp irvine ca only that s
6747,0,dougreport read floyd article say private
6748,neutral,wookiestyle thanks wookie man test stuff you lol
6749,neutral,sid also unitechy
6750,0,japumpy need botox work lip i m going change name angelina jolie thought sad though racism
6751,0,felt one tooth without brace bracket got soooo hype
6752,0,fuming ebay purchase gone bad outta nothing show amp
6753,0,car broken
6754,neutral,anyone dreamwidth spare invite code lying around could please spare one pretty please
6755,neutral,paulie saw photo shirt he
6756,0,way school feeln rainy day all lot fun weekend
6757,neutral,justinbrighten happy birthday
6758,neutral,clwydian nah single person post tweet day hard cope android phone i m unable filter
6759,0,cont small child puppy cleche sarcasm annoying bcreative again that s harrd
6760,neutral,feel strong contraction want go out http plurk com p wxidk
6761,0,feeling bad taylorshockley profile pic
6762,0,mandyyjirouxx today mtv allow u vote
6763,neutral,freaking difficult get system wide spellchecker shit i d settle office suite one stupid unhelpful window
6764,neutral,tieraa place find home marilyn seria beach
6765,neutral,think i ve finally reached point life need nasal hair trimmer
6766,0,rosie day today goal leav house b mom get hmmm maybe rosie day rescheduled for wed
6767,neutral,enithhernandez apologize trollcat crap misunderstood concept
6768,0,ebonyeeee didnt get text
6769,0,flossalini panasonic charger sorry
6770,neutral,bungeespin caww sound good hope right
6771,0,poynterjones join jealousy l
6772,0,scavengerlor lol clever i m extremely jealous amount follower
6773,neutral,benno subtly replacing quot penetration testing quot see it nobody s caught yet
6774,0,seen muffin two whole day
6775,neutral,know going there check eztv office torrent
6776,0,listening hey zulu red n meth sux work right
6777,neutral,juiceegapeach hungry fool ill probably never see krispy kreme again enjoy it closing
6778,neutral,davidarchie great day today david may write wonderful masterpiece
6779,neutral,guess i m twitter now
6780,0,miss boo
6781,0,angelofmusic can t toy story come june
6782,0,halestormrocks wish y all unfortunately able make it gotta work nd gig today
6783,neutral,absolutsilver hear sister here
6784,neutral,mzunyque thanks major chop
6785,0,feeling well today ugh cant go home
6786,neutral,alicias tonight idkkkk ughhh
6787,0,loryanyumul miss gonna irvine again liz reminiscing adventure
6788,neutral,http twitpic com jfkw afc oh yes
6789,neutral,any night like bird keeping awake
6790,0,heavenlyriot girl confusing
6791,0,upset bout talk someone idk though
6792,0,victoryhawk darn bacon
6793,neutral,mr craig tried follow one ff recommendation quot have blocked following request user quot
6794,neutral,kaitgoesrawr got them read amp reply
6795,0,didnt get paid week roll tuesday
6796,0,want goto lonovala frenz wedding bt no transport arrngmnts wrkg
6797,neutral,nobody like feel low priority
6798,neutral,anxiously awaiting rocket lakers game yes finally got tix game amp yeahhhhh
6799,neutral,imagesandwords month put week s notice little week ago last day friday
6800,0,bird flew window parent house snapped poor neck gotta bury
6801,neutral,tsarnick yeah thumb last night sorry
6802,neutral,delloutletuk gone
6803,neutral,sat pub pretty quiet far prob leave bit work
6804,neutral,good morning afternoon night all studying usual
6805,0,philiphotchkiss sorry see twitter user named tomclain
6806,neutral,boystown i ll leave eastwood hour
6807,neutral,eumiko uhhhh yeah tweet lot nowadays quite lazy so month always college
6808,0,mom left
6809,0,mad glee premiere till fall
6810,0,ottosdaughter sorry hear
6811,neutral,tummy hurt
6812,0,i m fun filled evening funeral home joy
6813,neutral,queenpenguin i m mean
6814,neutral,wossit look follower tweeps list fully populated
6815,neutral,entering twitter lurk mode time lock keyboard poured whiskey
6816,neutral,flypside good i must creat presentation english guy
6817,neutral,continuo tentando trocar background twitter over capacity
6818,neutral,frankiethesats beat understand
6819,neutral,working away now hopefully stay nice afternoon evening possible bbq weather
6820,neutral,janey la wanting sun today apparently la cooperating
6821,neutral,equivocality nah look better label top latin name access way need turn anything
6822,neutral,mokargas darn open source software security hole
6823,neutral,rebecca iscool gb drive mb gb free tb external storage permanently connected home
6824,0,itxi itx credit unfortunately
6825,0,stacyday yeah trimet say hr trip get home ish we d arrive everyone leaving
6826,neutral,http is gd iq microsoft released zune also europe hd u
6827,0,gfalcone ohhh ok thats upsetting sorry wasting time xx
6828,0,ugh soooo much work today trying make train game looking like hour sunday office
6829,neutral,agent nothing yet
6830,neutral,still waiting
6831,0,didnt get hug today
6832,0,retrobakery would agree bacon cupcake would rather drive shop instead office
6833,neutral,lyin bed faaaaar early
6834,neutral,passed last night middle th quarter witness magic lose
6835,neutral,neridagill thank you look
6836,neutral,isla fisher hey u did u got reply
6837,0,lesnoyse b finished
6838,0,hate taking lily doc get shot make super sad
6839,0,early wanna go back sleeep
6840,0,life get soo dull sometimes u around x
6841,neutral,hello twitter
6842,0,kevincl here going browse sa get bored
6843,neutral,aldenpolicar good day sir i m hungry
6844,neutral,ann aguirre going anywhere amp book finally get hre cool know wht butch look lk lol going mail tdy
6845,neutral,larrybenet dmed login detail twitter salvation system enjoy let know u think
6846,neutral,skiingfreak way short stack sway sway sway sway baby song
6847,neutral,whitespider quot toy quot advanced load carrying system low cost man outdoor shelter get wolverine glove
6848,neutral,got show early jackson s chillen lil shorty
6849,0,lonely day trizia baguio http plurk com p xapl
6850,neutral,soo bored lovley day outside nuttin
6851,0,finally accepting fact cute guy taken
6852,0,empty trash mac one difficult thing ever done life picture gone
6853,neutral,saundrayee hey welcome twitter
6854,neutral,good morning
6855,neutral,hide smile http robo to oneflipsta
6856,0,sux gabe told go afterparty id work can t go
6857,0,lmao come mad reply im like damn im missed damn follow friday lmao im still important missed
6858,0,tbake crap always forget
6859,neutral,givemestrength ha check high score today currently no slot
6860,neutral,haizzz hem cï¿½n ai t i n ï¿½y ï¿½i b ng quï¿½ bibi c nhï¿½ trï¿½i cï¿½y
6861,0,tummy kinda hurt
6862,neutral,badger probably yoot care grandad
6863,neutral,dawnofournight i ll try not stranger
6864,neutral,annoyed
6865,neutral,going school i m actually tired today tho
6866,neutral,gots headache
6867,0,can t believe metal gear solid song stolen i m disappointed http bit ly ykksu
6868,neutral,metodico quot organization itil forget people and fail quot preaching converted people http tr im kwua
6869,neutral,please
6870,neutral,ohmeabby kimbeommie update
6871,0,gonna suck sober one tonight
6872,0,melissaha what kidding az landmark kinda news make sad
6873,neutral,full time tonight s game ashington whitley bay
6874,neutral,katyperry think honeymoon good life either honey moon joseph arthur
6875,0,yea baby im gonna miss much
6876,neutral,dili loool thats way thing are
6877,neutral,hellokittylei day like this
6878,neutral,we ll watch amp wait amp tomorrow take anyone need dr w o take everyone else n s cheek amp ear red hair
6879,neutral,sunmaker yeah based e mail
6880,0,jenkellytisdale good luck haha loved character bring on win movie
6881,0,finally feel like nice summer day i m feeling sick
6882,neutral,finally home decides time work friday long weekend apparently client
6883,neutral,mum driving eric jt night
6884,neutral,i m back sudden wave melancholy take over miss shining emblem
6885,0,heeder s monday well absolutely plan weekend
6886,0,i m bored headache
6887,0,wish parent put chinese school younger then it ll much easier get job
6888,neutral,dcmjlive none moment used root adam issue quot feeling good quot version muse fan like moi
6889,neutral,taracherish guess wasnt meant be
6890,0,dang ldbf didnt give follow friday shot
6891,neutral,monicafrancesca vote want see gino drag please post picture
6892,0,think need new friend
